date,cases,tests,hospitalizations,deaths,vaccinations,cases_7day_avg,tests_7day_avg,hospitalizations_7day_avg,deaths_7day_avg,vaccinations_7day_avg,positivity_rate,positivity_rate_7day_avg,cases_wow_change,cases_wow_pct,tests_wow_change,tests_wow_pct,hospitalizations_wow_change,hospitalizations_wow_pct,deaths_wow_change,deaths_wow_pct,vaccinations_wow_change,vaccinations_wow_pct,cases_cumulative,deaths_cumulative,vaccinations_cumulative
2020-03-01,116.0,1054,53.0,4,484,116.0,1054.0,53.0,4.0,484.0,11.005692599620494,11.005692599620494,,0.0,,0.0,,0.0,,0.0,,0.0,116.0,4,484
2020-03-02,107.0,1062,45.0,3,511,111.5,1058.0,49.0,3.5,497.5,10.07532956685499,10.540511083237742,,0.0,,0.0,,0.0,,0.0,,0.0,223.0,7,995
2020-03-03,82.0,948,51.0,3,526,101.66666666666667,1021.3333333333334,49.666666666666664,3.3333333333333335,507.0,8.649789029535865,9.91027039867045,,0.0,,0.0,,0.0,,0.0,,0.0,305.0,10,1521
2020-03-04,79.0,991,44.0,4,509,96.0,1013.75,48.25,3.5,507.5,7.971745711402624,9.425639226853495,,0.0,,0.0,,0.0,,0.0,,0.0,384.0,14,2030
2020-03-05,0.0,889,59.0,6,522,76.8,988.8,50.4,4.0,510.4,0.0,7.540511381482796,,0.0,,0.0,,0.0,,0.0,,0.0,384.0,20,2552
2020-03-06,71.0,938,34.0,4,533,75.83333333333333,980.3333333333334,47.666666666666664,4.0,514.1666666666666,7.569296375266525,7.5453088804467505,,0.0,,0.0,,0.0,,0.0,,0.0,455.0,24,3085
2020-03-07,95.0,1046,61.0,5,544,78.57142857142857,989.7142857142857,49.57142857142857,4.142857142857143,518.4285714285714,9.082217973231357,7.7648673222731235,,0.0,,0.0,,0.0,,0.0,,0.0,550.0,29,3629
2020-03-08,76.0,1044,33.0,3,533,72.85714285714286,988.2857142857143,46.714285714285715,4.0,525.4285714285714,7.2796934865900385,7.232581734697344,-40.0,-34.48275862068966,-10.0,-0.9487666034155597,-20.0,-37.735849056603776,-1.0,-25.0,49.0,10.12396694214876,626.0,32,4162
2020-03-09,93.0,927,45.0,10,529,70.85714285714286,969.0,46.714285714285715,5.0,528.0,10.032362459546926,7.226443576510477,-14.0,-13.084112149532709,-135.0,-12.711864406779661,0.0,0.0,7.0,233.33333333333334,18.0,3.522504892367906,719.0,42,4691
2020-03-10,111.0,1071,75.0,3,504,75.0,986.5714285714286,50.142857142857146,5.0,524.8571428571429,10.364145658263306,7.471351666328682,29.0,35.36585365853659,123.0,12.974683544303797,24.0,47.05882352941176,0.0,0.0,-22.0,-4.182509505703422,830.0,45,5195
